timestamp,src,dest,speed_src,speed_dest,posx_src,posy_src,posz_src,posx_dest,posy_dest,posz_dest,traffic_type,packet_size,interval,serving_gnb,distance,sinr_dl,sinr_ulmac_thr_dl,mac_thr_ul,mac_delay_dl,mac_delay_ul,blerDlSignal,blerUlSignal,packetLossDlSignal,packetLossUlSignal,
0.24,gnb,ue[2],0,60,1000,950,30,310.824,459.967,57.7284,DL,1000,0.02,1,846.088,13.6131,3.15123,15394.6,0,0.004,0,0,0,0,0
0.24,gnb,ue[3],0,60,1000,950,30,168.751,480.737,15.9469,DL,1000,0.02,1,954.662,14.1937,4.46062,26135.7,0,0.011,0,0,0,0,0
0.24,gnb,ue[4],0,60,1000,950,30,404.598,479.854,42.682,DL,1000,0.02,1,758.75,14.9149,-0.428566,25966.4,0,0.01,0,0,0,0,0
0.24,gnb,ue[5],0,60,1000,950,30,266.469,503.537,13.1597,DL,1000,0.02,1,858.883,14.3355,7.70827,13965.7,0,0.01,0,0,0,0,0
0.24,gnb,ue[6],0,60,1000,950,30,25.0981,495.831,2.52318,DL,1000,0.02,1,1075.85,10.8892,4.67626,0,0,0,0,0,0,0,0
0.24,gnb,ue[7],0,60,1000,950,30,265.09,533.372,46.1853,DL,1000,0.02,1,844.946,16.4049,17.1262,31978,0,0.004,0,0,0,0,0
0.24,gnb,ue[8],0,60,1000,950,30,727.268,454.854,47.4872,DL,1000,0.02,1,565.56,14.4606,13.7222,21361.4,0,0.004,0,0,0,0,0
0.24,gnb,ue[9],0,60,1000,950,30,912.462,559.802,3.52198,DL,1000,0.02,1,400.772,16.5016,35.6503,31578.3,0,0.004,0,0,0,0,0
0.24,gnb,ue[10],0,60,1000,950,30,191.481,475.726,33.8514,DL,1000,0.02,1,937.365,10.8642,8.12415,0,0,0,0,0,0,0,0
0.24,gnb,ue[11],0,60,1000,950,30,572.701,465.498,85.2736,DL,1000,0.02,1,648.368,15.3793,6.13862,31458.9,0,0.004,0,0,0,0,0
0.24,gnb,ue[12],0,60,1000,950,30,362.089,491.406,26.7989,DL,1000,0.02,1,785.652,14.415,14.0939,14272,0,0.01,0,0,0,0,0
0.24,gnb,ue[13],0,60,1000,950,30,64.1542,498.769,82.1303,DL,1000,0.02,1,1040.26,12.1744,6.65853,6650.94,0,0.004,0,0,0,0,0
0.24,gnb,ue[14],0,60,1000,950,30,372.478,478.027,57.155,DL,1000,0.02,1,785.672,15.4163,7.18479,27190.7,0,0.004,0,0,0,0,0
0.24,gnb,ue[15],0,60,1000,950,30,974.633,497.6,0.159457,DL,1000,0.02,1,454.092,14.0827,12.1912,19572.1,0,0.01,0,0,0,0,0
0.24,gnb,ue[16],0,60,1000,950,30,131.199,494.253,77.9111,DL,1000,0.02,1,982.25,13.6613,5.42462,0,0,0,0,0,0,0,0
0.24,gnb,ue[17],0,60,1000,950,30,792.832,524,76.9247,DL,1000,0.02,1,476.022,14.3839,13.3221,30713.1,0,0.004,0,0,0,0,0
0.24,gnb,ue[18],0,60,1000,950,30,551.146,462.114,97.8857,DL,1000,0.02,1,666.416,15.9046,9.80011,30826.3,0,0.004,0,0,0,0,0
0.24,gnb,ue[19],0,60,1000,950,30,382.348,497.137,60.1944,DL,1000,0.02,1,766.479,15.5753,10.3243,31978,0,0.004,0,0,0,0,0
0.26,gnb,ue[0],0,60,1000,950,30,465.67,554.999,52.3156,DL,1000,0.02,1,664.855,13.8509,4.83353,0,0,0,0,0,0,0,0
0.26,gnb,ue[1],0,60,1000,950,30,265.076,548.226,60.5043,DL,1000,0.02,1,838.132,13.1647,4.27347,0,0,0,0,0,0,0,0
0.26,gnb,ue[2],0,60,1000,950,30,311.484,458.965,57.7284,DL,1000,0.02,1,846.131,13.2312,-1.43759,15394.6,0,0.004,0,0,0,0,0
0.26,gnb,ue[3],0,60,1000,950,30,168.674,481.935,15.9469,DL,1000,0.02,1,954.141,14.9875,5.38094,26135.7,0,0.011,0,0,0,0,0
0.26,gnb,ue[4],0,60,1000,950,30,403.562,479.248,42.682,DL,1000,0.02,1,759.938,14.701,1.40129,32061.8,0,0.004,0,0,0,0,0
0.26,gnb,ue[5],0,60,1000,950,30,266.332,504.73,13.1597,DL,1000,0.02,1,858.381,13.9112,6.14561,13965.7,0,0.01,0,0,0,0,0
